Pitch,Yaw  ,Roll ,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.879823,0.857295,0.808248,1.01325,1.00993,1.01267,1.02264,0.967379,0.96747,0.954822,0.91742,1.04115,6.13531,-0.761049,2.85956,0.366541,1.10206,0.598982,0.878174,-0.421563,-0.72631,-0.746968,-2.2419,-1.04254,0.847631,-1.02438,0.0585583,0.53481,-0.682398,-1.16424,0.21675,0.614466,-0.0576021,-0.561197,-0.0582342,0.228782,
0.76371,0.714856,0.612527,1.02648,1.02078,1.02777,1.03405,0.93481,0.936835,0.913028,0.839333,1.09074,6.04719,-1.56034,3.13181,0.942898,1.1132,-0.99057,1.21522,-0.29887,-1.26798,-0.672154,-2.17648,-1.05009,0.916512,-0.823319,-0.134089,0.41834,-0.691091,-1.08035,0.0663244,0.696953,-0.114158,-0.534617,0.0106904,0.176947,
0.650522,0.572049,0.414799,1.04044,1.03316,1.04438,1.04108,0.903973,0.909021,0.870718,0.763223,1.14825,5.94275,-1.91871,3.10846,0.959173,1.05993,-1.85997,1.09877,-0.14017,-1.71545,-0.607511,-1.9044,-1.10758,0.858046,-0.661757,-0.224676,0.374836,-0.722064,-1.07296,0.055209,0.735296,-0.119537,-0.57342,0.041652,0.218965,
0.537121,0.430831,0.215182,1.05383,1.04674,1.06078,1.04451,0.872917,0.882065,0.828207,0.685594,1.21107,5.98306,-2.15626,3.16984,0.881401,0.936533,-2.63625,1.00948,-0.0223329,-1.84476,-0.534289,-1.41725,-1.09672,0.815027,-0.332024,-0.308705,0.337054,-0.788932,-1.02225,0.046099,0.680939,-0.171596,-0.557304,0.0581983,0.212874,
0.421277,0.292122,0.0133539,1.06578,1.06011,1.0762,1.04301,0.842288,0.857137,0.784685,0.609958,1.2768,6.13813,-2.1553,3.38656,0.728435,0.657721,-3.57712,0.999134,0.0295873,-1.69791,-0.558306,-0.919077,-1.02573,0.678262,-0.151804,-0.361771,0.390046,-0.890133,-0.973515,0.00135172,0.674731,-0.172547,-0.561248,0.0780741,0.248343,
0.301492,0.154307,-0.18978,1.07664,1.07688,1.09223,1.03708,0.811014,0.832904,0.738763,0.533652,1.34654,6.55016,-2.62614,3.42388,0.546231,0.771762,-4.71892,0.858508,0.0554049,-1.72715,-0.587913,-0.757868,-0.929068,0.444399,-0.112937,-0.457182,0.345994,-0.772936,-0.89023,-0.0198411,0.702956,-0.344463,-0.468079,0.0959868,0.270032,
0.300899,0.160053,-0.202305,1.07325,1.08555,1.09571,1.00469,0.811996,0.842062,0.737103,0.539756,1.37798,6.93409,-3.14854,3.36161,0.0451673,0.990714,-5.65039,0.841894,0.174692,-1.7241,-0.759043,-0.591343,-0.761382,0.199028,-0.0977015,-0.537578,0.311069,-0.712095,-0.822902,-0.0384304,0.690611,-0.488681,-0.389072,0.0973818,0.289581,
0.297374,0.166191,-0.212424,1.07088,1.09309,1.09774,0.978248,0.813082,0.850068,0.730758,0.540777,1.4046,7.30686,-3.74682,3.25461,-0.201923,1.24808,-6.21368,0.847476,0.312085,-1.93855,-0.896821,-0.443289,-0.651052,0.00547422,-0.0102287,-0.698718,0.349178,-0.700213,-0.760899,0.0175922,0.627128,-0.427793,-0.38004,0.0389337,0.320847,
