Pitch,Yaw  ,Roll ,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,
0.841021,0.853784,0.862382,1.03802,1.05667,1.03784,1.07362,0.995988,0.997783,0.977074,0.932786,0.984786,-1.15635,6.04746,0.0413968,-0.0705739,0.43612,0.147437,-4.11984,-1.61956,-2.76589,-0.218386,0.758532,-0.769119,0.899139,-1.34857,-0.240365,0.389943,-0.024421,0.114916,-0.235225,-0.150319,0.0588667,0.123902,0.0837591,0.086165,
0.679623,0.706905,0.723984,1.07615,1.11385,1.07452,1.15109,0.978691,0.982165,0.955549,0.867486,0.964953,-1.18521,6.25927,0.136978,-0.234847,0.471289,0.318394,-4.29276,-1.68831,-2.32146,-0.492394,0.701606,-0.778587,0.918616,-1.44739,-0.196579,0.548287,-0.201197,0.150235,-0.247591,-0.301493,0.0996613,0.167254,-0.0604698,0.0231486,
0.518049,0.559554,0.583787,1.10936,1.16169,1.10671,1.21959,0.970498,0.975795,0.933071,0.799242,0.942854,-1.14162,6.82036,0.108059,-0.316071,-0.276547,0.369158,-4.1102,-1.50919,-1.73919,-0.285728,0.489912,-0.689874,0.80988,-1.49532,-0.311391,0.653926,-0.245719,0.0291277,-0.0589457,-0.188094,0.12664,0.101115,-0.0128159,0.1089,
0.355977,0.413023,0.442704,1.13292,1.19999,1.13026,1.2763,0.956964,0.964431,0.904114,0.719364,0.917574,-0.584611,7.0672,0.121963,-0.317616,-1.39651,0.192948,-3.79903,-1.60159,-0.888438,0.213772,0.449895,-0.749198,0.724175,-1.62295,-0.481381,0.948766,-0.161186,0.198308,0.0694302,-0.203476,0.202176,0.065379,0.0585738,0.05235,
0.197891,0.266862,0.301165,1.15418,1.22976,1.15178,1.32174,0.9598,0.96974,0.877427,0.645004,0.896486,-0.7228,6.64783,0.146522,0.0815293,-1.69285,-0.0321101,-3.53562,-0.995738,-0.891554,0.508941,0.433006,-0.587231,0.639606,-1.61626,-0.544107,0.9441,-0.165371,0.235008,0.0988191,-0.228288,0.304959,0.0730461,0.0763136,0.0903763,
0.0430204,0.121281,0.160034,1.17236,1.25194,1.17076,1.35781,0.971318,0.984144,0.848452,0.567958,0.875961,-0.393851,6.52106,0.114472,0.158684,-2.11003,-0.289463,-3.36603,-0.728587,-0.749729,0.670268,0.439955,-0.42947,0.56314,-1.72768,-0.717642,0.999144,-0.12361,0.314323,0.147247,-0.165591,0.370597,0.0160507,0.117521,0.0836321,
0.0493739,0.121492,0.157191,1.15193,1.21426,1.15194,1.31611,0.994531,1.0088,0.841468,0.553195,0.866854,-0.346526,6.76426,-0.178146,0.240829,-2.22408,-0.435686,-3.24975,-0.646131,-0.721952,0.557765,0.393978,-0.319683,0.499925,-1.66011,-0.751155,0.944578,-0.1427,0.240097,0.114429,-0.108885,0.306284,0.0389332,0.186808,0.105626,
0.060092,0.122151,0.157083,1.13048,1.17414,1.13258,1.26827,1.03279,1.0481,0.833345,0.536949,0.86164,-0.435191,6.786,-0.275753,0.121725,-2.35462,-0.320874,-3.37101,-0.575956,-0.594271,0.541578,0.393175,-0.265436,0.443595,-1.51555,-0.742849,0.915439,-0.158106,0.317665,0.17315,-0.139834,0.316461,0.00202492,0.0979448,0.0634936,
0.0724805,0.123317,0.160366,1.11224,1.13924,1.11602,1.22523,1.0647,1.08097,0.825524,0.523543,0.856111,-0.332389,6.91533,-0.313777,0.291752,-2.59933,-0.241909,-3.25031,-0.609431,-0.353052,0.598863,0.186344,-0.200015,0.392245,-1.4446,-0.811095,0.99344,-0.260449,0.267064,0.21648,-0.0736916,0.356488,-0.0254641,0.10945,0.101616,
0.0865685,0.123435,0.166083,1.10334,1.11258,1.10736,1.19246,1.10338,1.11962,0.825031,0.522668,0.853117,-0.461263,7.08461,-0.267422,0.293193,-2.71809,0.124685,-3.28938,-0.644486,-0.20737,0.521769,-0.0482007,-0.191864,0.367179,-1.04583,-0.7515,0.967231,-0.374771,0.245948,0.275038,-0.0593362,0.307951,-0.0301126,0.104313,0.0784428,
